Name,Salary,Field,Age,City
Kiran,40632,Education,44,Chitwan
Sita,118885,Engineer,48,Bhaktapur
Nabin,100981,Finance,24,Lalitpur
Aashish,26522,Business,60,Nepalgunj
Suman,108338,Medicine,25,Lalitpur
Gita,30693,Medicine,45,Butwal
Nabin,55665,Engineer,52,Pokhara
Ramesh,78079,Finance,37,Lalitpur
Sabin,106761,Engineer,43,Nepalgunj
Prakash,75576,Medicine,49,Dharan
Dipesh,83656,Engineer,51,Dharan
Roshan,99570,Engineer,40,Dharan
Kiran,77939,Education,57,Dharan
Suman,74287,Medicine,20,Butwal
Nabin,55804,Education,25,Dharan
Manish,48255,Education,49,Kathmandu
Prakash,118951,Business,60,Kathmandu
Sunil,87154,Engineer,42,Janakpur
Bikash,34918,Business,24,Bhaktapur
Hari,65242,Engineer,54,Biratnagar
Prakash,76349,Finance,45,Kathmandu
Suman,34534,Education,33,Biratnagar
Bikash,57125,Engineer,47,Janakpur
Suman,108895,Engineer,33,Bhaktapur
Manish,108930,IT,51,Kathmandu
Dipesh,97743,Finance,37,Kathmandu
Bibek,83783,Education,40,Bhaktapur
Sunil,89066,Finance,38,Bhaktapur
Ram,107442,Business,41,Biratnagar
Kiran,60425,Business,55,Chitwan
Sunil,25952,Engineer,56,Lalitpur
Ramesh,48903,Medicine,28,Pokhara
Kiran,71807,Engineer,56,Dharan
Suresh,149033,IT,51,Janakpur
Aashish,98554,Engineer,41,Nepalgunj
Prakash,27180,Education,23,Chitwan
Sunil,21007,IT,22,Lalitpur
Prakash,46794,Engineer,26,Pokhara
Dipesh,59507,Business,60,Kathmandu
Prakash,143905,Education,49,Chitwan
Roshan,47686,Engineer,21,Chitwan
Ram,120578,Education,27,Butwal
Sabin,37987,Business,30,Janakpur
Suresh,120160,Medicine,48,Nepalgunj
Hari,53491,Medicine,49,Janakpur
Bikash,57938,Finance,20,Biratnagar
Nabin,63007,Engineer,47,Dharan
Kiran,35726,Finance,32,Lalitpur
Roshan,21013,Education,28,Biratnagar
Bikash,85193,Engineer,39,Butwal
Kiran,117912,Medicine,30,Biratnagar
Kiran,76446,IT,37,Bhaktapur
Suman,43028,Finance,25,Lalitpur
Ram,36932,Education,43,Dharan
Hari,69834,Finance,36,Kathmandu
Anil,89806,Medicine,25,Bhaktapur
Bikash,112231,Medicine,43,Bhaktapur
Bibek,50161,IT,30,Lalitpur
Bikash,85570,Education,23,Bhaktapur
Anil,93233,Finance,45,Kathmandu
Manish,129229,Medicine,60,Nepalgunj
Aashish,107562,Education,39,Janakpur
Kiran,125670,Medicine,34,Lalitpur
Roshan,66421,IT,47,Pokhara
Sabin,29447,IT,25,Biratnagar
Aashish,72044,Business,26,Kathmandu
Nabin,132953,Engineer,20,Dharan
Roshan,117260,Education,33,Chitwan
Sunil,25544,Business,50,Janakpur
Aashish,77176,IT,24,Nepalgunj
Suman,22456,Education,28,Kathmandu
Prakash,80260,Medicine,57,Nepalgunj
Anil,140738,IT,34,Kathmandu
Prakash,30205,Finance,53,Pokhara
Bikash,132998,Medicine,48,Kathmandu
Sita,61033,Business,20,Kathmandu
Suresh,95465,Education,20,Pokhara
Sunil,76267,Business,41,Dharan
Sita,95156,Business,27,Butwal
Roshan,73008,Education,47,Dharan
Ramesh,112995,Medicine,28,Pokhara
Suresh,103904,Engineer,50,Janakpur
Suresh,74747,Engineer,24,Chitwan
Kiran,57947,Engineer,34,Butwal
Prakash,35096,Education,44,Lalitpur
Manish,73088,IT,25,Bhaktapur
Sabin,22733,IT,26,Kathmandu
Dipesh,146641,Education,26,Chitwan
Anil,62568,Finance,40,Dharan
Sita,42527,Medicine,43,Pokhara
Suresh,125030,Finance,39,Janakpur
Anil,144205,Education,28,Chitwan
Bikash,101018,Education,44,Nepalgunj
Aashish,80305,IT,28,Nepalgunj
Ramesh,129055,Medicine,29,Lalitpur
Anil,110388,Business,24,Dharan
Ram,140556,Medicine,53,Pokhara
Roshan,67428,IT,56,Janakpur
Gita,31551,Business,20,Nepalgunj
Prakash,77240,Business,59,Pokhara
Shyam,130688,Medicine,30,Chitwan
Shyam,33875,Education,48,Pokhara
Roshan,51891,Engineer,42,Pokhara
Anil,77104,IT,33,Butwal
Gita,97184,IT,60,Bhaktapur
Kiran,72487,Engineer,29,Nepalgunj
Sita,88676,Finance,46,Bhaktapur
Ram,30308,Finance,59,Chitwan
Manish,71873,IT,48,Janakpur
Anil,134101,Engineer,33,Bhaktapur
Kiran,60668,Engineer,25,Biratnagar
Kiran,117754,Business,26,Dharan
Suman,64500,Education,28,Chitwan
Sunil,49041,Finance,27,Lalitpur
Ramesh,63655,Finance,57,Kathmandu
Shyam,122120,Business,44,Janakpur
Prakash,42037,Medicine,42,Butwal
Kiran,30011,Finance,47,Bhaktapur
Sita,86910,Business,40,Butwal
Hari,102998,Engineer,28,Biratnagar
Bibek,34945,Medicine,35,Bhaktapur
Kiran,89547,IT,37,Kathmandu
Hari,86840,Engineer,25,Kathmandu
Manish,45415,Medicine,35,Pokhara
Shyam,138741,Education,55,Pokhara
Gita,121741,Business,58,Nepalgunj
Gita,65793,Education,58,Butwal
Manish,66019,Engineer,58,Lalitpur
Anil,115339,Education,38,Pokhara
Hari,145596,Medicine,21,Janakpur
Bikash,127341,IT,39,Pokhara
Sita,104599,Education,33,Pokhara
Roshan,126828,Engineer,53,Chitwan
Nabin,39358,Engineer,58,Bhaktapur
Dipesh,50968,Finance,52,Butwal
Dipesh,33474,Education,32,Chitwan
Dipesh,39194,Medicine,45,Chitwan
Bikash,53550,Medicine,38,Butwal
Sabin,45856,Finance,23,Kathmandu
Bibek,42740,Education,35,Pokhara
Suman,98957,Business,51,Lalitpur
Suman,40036,Business,44,Kathmandu
Anil,119642,Finance,27,Chitwan
Manish,119503,Engineer,35,Biratnagar
Nabin,105918,IT,51,Biratnagar
Anil,29876,Business,60,Dharan
Manish,43218,Education,58,Pokhara
Dipesh,144687,IT,24,Pokhara
Shyam,121298,Medicine,53,Kathmandu
Dipesh,102306,Medicine,20,Kathmandu
Sita,84764,Business,43,Lalitpur
Suresh,80811,Engineer,40,Lalitpur
Suresh,118886,Medicine,28,Biratnagar
Prakash,93889,IT,44,Biratnagar
Hari,119598,Engineer,56,Butwal
Ramesh,95952,Business,46,Nepalgunj
Bikash,78838,Medicine,43,Chitwan
Ramesh,109277,Business,54,Pokhara
Roshan,141130,Engineer,31,Biratnagar
Hari,135611,Engineer,50,Biratnagar
Ramesh,93989,Engineer,24,Lalitpur
Ram,104278,Finance,21,Pokhara
Nabin,103269,Education,57,Dharan
Suman,149306,Finance,24,Dharan
Dipesh,101857,IT,20,Butwal
Kiran,62363,Engineer,36,Chitwan
Anil,133278,Education,33,Dharan
Shyam,147267,Engineer,22,Butwal
Bikash,102210,Education,23,Dharan
Anil,61436,Medicine,45,Lalitpur
Anil,39786,IT,52,Pokhara
Suman,77640,Education,38,Lalitpur
Hari,28950,IT,60,Kathmandu
Bikash,81462,Business,52,Lalitpur
Prakash,77961,Engineer,46,Pokhara
Manish,102756,Medicine,47,Dharan
Suresh,59691,Business,45,Nepalgunj
Nabin,124376,Education,25,Butwal
Sita,56002,Finance,60,Nepalgunj
Roshan,97518,Education,54,Butwal
Bikash,27362,Engineer,54,Lalitpur
Gita,66129,Education,59,Nepalgunj
Prakash,86497,IT,29,Dharan
Gita,29724,Education,37,Biratnagar
Hari,60685,Engineer,25,Nepalgunj
Shyam,80521,Engineer,39,Kathmandu
Ramesh,79233,Finance,25,Lalitpur
Anil,24929,Medicine,52,Butwal
Dipesh,27456,Medicine,33,Butwal
Manish,68331,Medicine,29,Pokhara
Anil,129012,Business,54,Dharan
Suman,57627,Medicine,40,Butwal
Sita,30057,Business,45,Kathmandu
Suman,104497,Education,57,Pokhara
Anil,133278,Finance,60,Chitwan
Bibek,148105,Engineer,24,Biratnagar
Prakash,132105,Business,39,Kathmandu
Sabin,31835,Education,47,Janakpur
Roshan,100610,Finance,35,Nepalgunj
Kiran,97867,Business,23,Nepalgunj
Suman,86462,Finance,35,Bhaktapur
Hari,70394,Education,25,Biratnagar
Dipesh,80648,Medicine,47,Janakpur
Shyam,96064,Medicine,27,Janakpur
Nabin,92655,Education,49,Nepalgunj
Sunil,145073,Finance,59,Pokhara
Dipesh,123785,IT,58,Dharan
Prakash,116851,Finance,23,Bhaktapur
Ram,137424,Business,39,Butwal
Hari,25376,Finance,31,Biratnagar
Bikash,78947,Education,27,Dharan
Manish,139150,Engineer,20,Lalitpur
Manish,126144,IT,28,Janakpur
Ram,94928,Finance,20,Nepalgunj
Prakash,105437,IT,30,Kathmandu
Manish,44672,IT,51,Kathmandu
Shyam,62143,Finance,42,Lalitpur
Ramesh,99299,Finance,53,Janakpur
Kiran,82341,Medicine,53,Butwal
Sabin,85715,Finance,36,Butwal
Suman,39773,Finance,30,Lalitpur
Prakash,145530,Medicine,43,Pokhara
Ramesh,28109,Medicine,28,Butwal
Manish,79050,Engineer,37,Biratnagar
Nabin,33566,Finance,27,Bhaktapur
Kiran,126295,Business,21,Biratnagar
Hari,137850,IT,41,Chitwan
Kiran,129756,Education,47,Kathmandu
Aashish,65015,Medicine,37,Janakpur
Nabin,148763,Education,53,Bhaktapur
Sunil,113626,Finance,24,Janakpur
Sunil,31053,Business,36,Dharan
Sita,86132,IT,56,Dharan
Ramesh,104689,Finance,60,Bhaktapur
Sunil,42617,Business,24,Pokhara
Nabin,25130,IT,51,Butwal
Kiran,52472,Business,49,Butwal
Anil,112749,Medicine,52,Nepalgunj
Bibek,77377,Finance,43,Butwal
Roshan,149890,Business,23,Pokhara
Shyam,77595,Business,51,Butwal
Suman,88690,Finance,56,Butwal
Hari,88517,IT,30,Biratnagar
Sunil,99928,Finance,43,Pokhara
Prakash,40807,Business,30,Butwal
Sunil,67696,Education,36,Kathmandu
Sita,68870,Engineer,26,Pokhara
Bibek,140315,Education,56,Dharan
Sabin,57079,IT,27,Dharan
Ram,70779,Business,34,Kathmandu
Roshan,73578,Engineer,52,Janakpur
Suman,121510,IT,20,Janakpur
Nabin,64350,Education,22,Kathmandu
Shyam,108984,Medicine,20,Pokhara
Suresh,98366,Finance,35,Nepalgunj
Sabin,26863,IT,22,Nepalgunj
Aashish,123445,IT,50,Chitwan
Dipesh,102691,Business,43,Janakpur
Kiran,104843,Engineer,44,Janakpur
Suman,63863,Education,29,Bhaktapur
Shyam,28639,IT,31,Butwal
Suresh,63213,Finance,22,Biratnagar
Prakash,32387,IT,55,Biratnagar
Roshan,93133,IT,46,Kathmandu
Gita,108916,Business,34,Bhaktapur
Anil,70667,IT,40,Butwal
Suman,57243,Engineer,35,Biratnagar
Kiran,53029,Business,46,Janakpur
Sita,114861,Medicine,40,Nepalgunj
Ram,131616,Medicine,37,Nepalgunj
Dipesh,106057,Education,24,Butwal
Bikash,146407,Education,56,Biratnagar
Ramesh,138796,Education,43,Butwal
Anil,98997,Business,27,Pokhara
Roshan,134462,Engineer,52,Pokhara
Ram,39709,Business,23,Bhaktapur
Roshan,63694,Business,31,Kathmandu
Nabin,30682,Business,34,Biratnagar
Hari,96380,Business,53,Biratnagar
Bikash,106980,IT,22,Chitwan
Sita,38537,Education,45,Janakpur
Suman,140159,Education,24,Janakpur
Sita,65851,Finance,49,Biratnagar
Gita,60662,Medicine,38,Pokhara
Kiran,146837,Education,39,Kathmandu
Anil,105990,Engineer,40,Lalitpur
Sabin,111551,IT,25,Butwal
Prakash,106787,Medicine,55,Lalitpur
Nabin,71374,Finance,49,Dharan
Kiran,36901,Business,20,Pokhara
Kiran,97993,Finance,43,Chitwan
Bikash,112908,Medicine,32,Nepalgunj
Suman,142945,Education,38,Bhaktapur
Roshan,31104,Medicine,56,Bhaktapur
Gita,60577,IT,39,Pokhara
Bibek,93259,IT,59,Dharan
Suresh,69372,Engineer,35,Bhaktapur
Dipesh,104343,Business,49,Butwal
Sabin,123764,Education,43,Bhaktapur
Gita,63054,Education,57,Biratnagar
Hari,126585,Finance,51,Pokhara
Prakash,36750,Business,32,Dharan
Nabin,107833,Finance,54,Kathmandu
Sunil,112121,Business,35,Nepalgunj
Sabin,128653,Medicine,29,Pokhara
Prakash,144139,Medicine,20,Butwal
Ram,116832,Business,46,Butwal
